Mike Ogrysko
java SortComparison "ran50.dat" "NMS5ran50out.dat"
Reading "ran50.dat" and writing to "NMS5ran50out.dat"
Running a Natural MergeSort
MergeSort: Comparing 29 to 3
MergeSort: Swapping 29 and 3
MergeSort: Comparing 29 to 4
MergeSort: Swapping 29 and 4
MergeSort: Comparing 29 to 5
MergeSort: Swapping 29 and 5
MergeSort: Comparing 29 to 6
MergeSort: Swapping 29 and 6
MergeSort: Comparing 29 to 7
MergeSort: Swapping 29 and 7
MergeSort: Comparing 29 to 8
MergeSort: Swapping 29 and 8
MergeSort: Comparing 29 to 9
MergeSort: Swapping 29 and 9
MergeSort: Comparing 29 to 10
MergeSort: Swapping 29 and 10
MergeSort: Comparing 29 to 11
MergeSort: Swapping 29 and 11
MergeSort: Comparing 29 to 12
MergeSort: Swapping 29 and 12
MergeSort: Comparing 29 to 13
MergeSort: Swapping 29 and 13
MergeSort: Comparing 29 to 14
MergeSort: Swapping 29 and 14
MergeSort: Comparing 29 to 15
MergeSort: Swapping 29 and 15
MergeSort: Comparing 29 to 16
MergeSort: Swapping 29 and 16
MergeSort: Comparing 29 to 17
MergeSort: Swapping 29 and 17
MergeSort: Comparing 29 to 18
MergeSort: Swapping 29 and 18
MergeSort: Comparing 29 to 19
MergeSort: Swapping 29 and 19
MergeSort: Comparing 29 to 20
MergeSort: Swapping 29 and 20
MergeSort: Comparing 29 to 21
MergeSort: Swapping 29 and 21
MergeSort: Comparing 29 to 22
MergeSort: Swapping 29 and 22
MergeSort: Comparing 29 to 23
MergeSort: Swapping 29 and 23
MergeSort: Comparing 29 to 24
MergeSort: Swapping 29 and 24
MergeSort: Comparing 29 to 25
MergeSort: Swapping 29 and 25
MergeSort: Comparing 29 to 26
MergeSort: Swapping 29 and 26
MergeSort: Comparing 29 to 27
MergeSort: Swapping 29 and 27
MergeSort: Comparing 29 to 28
MergeSort: Swapping 29 and 28
MergeSort: Comparing 29 to 30
MergeSort: Comparing 40 to 30
MergeSort: Swapping 40 and 30
MergeSort: Comparing 40 to 31
MergeSort: Swapping 40 and 31
MergeSort: Comparing 40 to 32
MergeSort: Swapping 40 and 32
MergeSort: Comparing 40 to 33
MergeSort: Swapping 40 and 33
MergeSort: Comparing 40 to 34
MergeSort: Swapping 40 and 34
MergeSort: Comparing 40 to 35
MergeSort: Swapping 40 and 35
MergeSort: Comparing 40 to 36
MergeSort: Swapping 40 and 36
MergeSort: Comparing 40 to 37
MergeSort: Swapping 40 and 37
MergeSort: Comparing 40 to 38
MergeSort: Swapping 40 and 38
MergeSort: Comparing 40 to 39
MergeSort: Swapping 40 and 39
MergeSort: Comparing 40 to 41

Number of swaps: 414

Number of comparisons: 455

Sorted result: 
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40
41
42
43
44
45
46
47
48
49
50
