Mike Ogrysko
java SortComparison "ran50.dat" "NMS5ran50out.dat"
Reading "ran50.dat" and writing to "NMS5ran50out.dat"
Running a Natural MergeSort
MergeSort: Swapping 38 and 15
MergeSort: Comparing 38 to 16
MergeSort: Swapping 38 and 16
MergeSort: Comparing 38 to 20
MergeSort: Swapping 38 and 20
MergeSort: Comparing 38 to 21
MergeSort: Swapping 38 and 21
MergeSort: Comparing 38 to 25
MergeSort: Swapping 38 and 25
MergeSort: Comparing 38 to 26
MergeSort: Swapping 38 and 26
MergeSort: Comparing 38 to 31
MergeSort: Swapping 38 and 31
MergeSort: Comparing 38 to 32
MergeSort: Swapping 38 and 32
MergeSort: Comparing 38 to 35
MergeSort: Swapping 38 and 35
MergeSort: Comparing 38 to 36
MergeSort: Swapping 38 and 36
MergeSort: Comparing 38 to 37
MergeSort: Swapping 38 and 37
MergeSort: Comparing 38 to 41
MergeSort: Comparing 6 to 2
MergeSort: Swapping 6 and 2
MergeSort: Comparing 6 to 3
MergeSort: Swapping 6 and 3
MergeSort: Comparing 6 to 4
MergeSort: Swapping 6 and 4
MergeSort: Comparing 6 to 8
MergeSort: Comparing 46 to 8
MergeSort: Swapping 46 and 8
MergeSort: Comparing 46 to 9
MergeSort: Swapping 46 and 9
MergeSort: Comparing 46 to 10
MergeSort: Swapping 46 and 10
MergeSort: Comparing 46 to 12
MergeSort: Swapping 46 and 12
MergeSort: Comparing 46 to 15
MergeSort: Swapping 46 and 15
MergeSort: Comparing 46 to 16
MergeSort: Swapping 46 and 16
MergeSort: Comparing 46 to 20
MergeSort: Swapping 46 and 20
MergeSort: Comparing 46 to 21
MergeSort: Swapping 46 and 21
MergeSort: Comparing 46 to 25
MergeSort: Swapping 46 and 25
MergeSort: Comparing 46 to 26
MergeSort: Swapping 46 and 26
MergeSort: Comparing 46 to 31
MergeSort: Swapping 46 and 31
MergeSort: Comparing 46 to 32
MergeSort: Swapping 46 and 32
MergeSort: Comparing 46 to 35
MergeSort: Swapping 46 and 35
MergeSort: Comparing 46 to 36
MergeSort: Swapping 46 and 36
MergeSort: Comparing 46 to 37
MergeSort: Swapping 46 and 37
MergeSort: Comparing 46 to 38
MergeSort: Swapping 46 and 38
MergeSort: Comparing 46 to 41
MergeSort: Swapping 46 and 41
MergeSort: Comparing 46 to 42
MergeSort: Swapping 46 and 42
MergeSort: Comparing 46 to 43
MergeSort: Swapping 46 and 43
MergeSort: Comparing 46 to 44
MergeSort: Swapping 46 and 44
MergeSort: Comparing 46 to 45
MergeSort: Swapping 46 and 45
MergeSort: Comparing 22 to 2
MergeSort: Swapping 22 and 2
MergeSort: Comparing 22 to 3
MergeSort: Swapping 22 and 3
MergeSort: Comparing 22 to 4
MergeSort: Swapping 22 and 4
MergeSort: Comparing 22 to 6
MergeSort: Swapping 22 and 6
MergeSort: Comparing 22 to 8
MergeSort: Swapping 22 and 8
MergeSort: Comparing 22 to 9
MergeSort: Swapping 22 and 9
MergeSort: Comparing 22 to 10
MergeSort: Swapping 22 and 10
MergeSort: Comparing 22 to 12
MergeSort: Swapping 22 and 12
MergeSort: Comparing 22 to 15
MergeSort: Swapping 22 and 15
MergeSort: Comparing 22 to 16
MergeSort: Swapping 22 and 16
MergeSort: Comparing 22 to 20
MergeSort: Swapping 22 and 20
MergeSort: Comparing 22 to 21
MergeSort: Swapping 22 and 21
MergeSort: Comparing 22 to 25
MergeSort: Comparing 14 to 2
MergeSort: Swapping 14 and 2
MergeSort: Comparing 14 to 3
MergeSort: Swapping 14 and 3
MergeSort: Comparing 14 to 4
MergeSort: Swapping 14 and 4
MergeSort: Comparing 14 to 6
MergeSort: Swapping 14 and 6
MergeSort: Comparing 14 to 8
MergeSort: Swapping 14 and 8
MergeSort: Comparing 14 to 9
MergeSort: Swapping 14 and 9
MergeSort: Comparing 14 to 10
MergeSort: Swapping 14 and 10
MergeSort: Comparing 14 to 12
MergeSort: Swapping 14 and 12
MergeSort: Comparing 14 to 15
MergeSort: Comparing 47 to 15
MergeSort: Swapping 47 and 15
MergeSort: Comparing 47 to 16
MergeSort: Swapping 47 and 16
MergeSort: Comparing 47 to 20
MergeSort: Swapping 47 and 20
MergeSort: Comparing 47 to 21
MergeSort: Swapping 47 and 21
MergeSort: Comparing 47 to 22
MergeSort: Swapping 47 and 22
