Mike Ogrysko
java SortComparison "ran50.dat" "QS1ran50out.dat"
Reading "ran50.dat" and writing to "QS1ran50out.dat"
Running a QuickSort
QuickSort: Comparing 12 to 14
QuickSort: Comparing 12 to 14
QuickSort: Swapping 18 and 12
QuickSort: Comparing 19 to 14
QuickSort: Comparing 19 to 14
QuickSort: Comparing 21 to 14
QuickSort: Comparing 13 to 14
QuickSort: Swapping 17 and 13
QuickSort: Comparing 15 to 14
QuickSort: Comparing 15 to 14
QuickSort: Comparing 20 to 14
QuickSort: Comparing 11 to 14
QuickSort: Swapping 16 and 11
QuickSort: Swapping 14 and 11
QuickSort: Comparing 13 to 11
QuickSort: Comparing 13 to 11
QuickSort: Comparing 13 to 12
QuickSort: Comparing 18 to 16
QuickSort: Comparing 18 to 16
QuickSort: Comparing 19 to 16
QuickSort: Comparing 21 to 16
QuickSort: Comparing 17 to 16
QuickSort: Comparing 15 to 16
QuickSort: Swapping 20 and 15
QuickSort: Swapping 16 and 15
QuickSort: Comparing 18 to 20
QuickSort: Comparing 18 to 20
QuickSort: Comparing 18 to 20
QuickSort: Swapping 21 and 18
QuickSort: Comparing 19 to 20
QuickSort: Swapping 20 and 19
QuickSort: Comparing 18 to 19
QuickSort: Comparing 18 to 19
QuickSort: Swapping 19 and 18
QuickSort: Comparing 17 to 18
QuickSort: Swapping 18 and 17
QuickSort: Comparing 25 to 28
QuickSort: Comparing 25 to 28
QuickSort: Comparing 25 to 28
QuickSort: Swapping 28 and 25
QuickSort: Comparing 26 to 25
QuickSort: Comparing 26 to 25
QuickSort: Comparing 26 to 27
QuickSort: Swapping 27 and 26
QuickSort: Comparing 40 to 45
QuickSort: Comparing 40 to 45
QuickSort: Comparing 40 to 45
QuickSort: Comparing 40 to 45
QuickSort: Comparing 40 to 45
QuickSort: Comparing 40 to 45
QuickSort: Comparing 40 to 45
QuickSort: Comparing 40 to 45
QuickSort: Swapping 46 and 40
QuickSort: Comparing 39 to 45
QuickSort: Comparing 39 to 45
QuickSort: Comparing 39 to 45
QuickSort: Swapping 47 and 39
QuickSort: Comparing 42 to 45
QuickSort: Comparing 42 to 45
QuickSort: Swapping 48 and 42
QuickSort: Comparing 30 to 45
QuickSort: Comparing 30 to 45
QuickSort: Comparing 30 to 45
QuickSort: Swapping 50 and 30
QuickSort: Comparing 36 to 45
QuickSort: Comparing 36 to 45
QuickSort: Comparing 36 to 45
QuickSort: Comparing 36 to 45
QuickSort: Swapping 49 and 36
QuickSort: Swapping 45 and 36
QuickSort: Comparing 33 to 36
QuickSort: Comparing 33 to 36
QuickSort: Swapping 37 and 33
QuickSort: Comparing 34 to 36
QuickSort: Comparing 34 to 36
QuickSort: Comparing 34 to 36
QuickSort: Swapping 44 and 34
QuickSort: Comparing 30 to 36
QuickSort: Comparing 30 to 36
QuickSort: Swapping 38 and 30
QuickSort: Comparing 43 to 36
QuickSort: Comparing 43 to 36
QuickSort: Comparing 43 to 36
QuickSort: Comparing 42 to 36
QuickSort: Comparing 39 to 36
QuickSort: Comparing 31 to 36
QuickSort: Swapping 41 and 31
QuickSort: Comparing 40 to 36
QuickSort: Swapping 36 and 31
