Mike Ogrysko
java SortComparison "dup50.dat" "QS2dup50out.dat"
Reading "dup50.dat" and writing to "QS2dup50out.dat"
Running a QuickSort with 100 as stopping case (Recursive insertion sort)
Recursive Insertion sort: Comparing 264 to 105
Recursive Insertion sort: Swapping 264 and 264
Recursive Insertion sort: Comparing 264 to 105
Recursive Insertion sort: Swapping 264 and 264
Recursive Insertion sort: Comparing 264 to 105
Recursive Insertion sort: Swapping 264 and 264
Recursive Insertion sort: Comparing 264 to 105
Recursive Insertion sort: Swapping 264 and 264
Recursive Insertion sort: Comparing 229 to 105
Recursive Insertion sort: Swapping 229 and 229
Recursive Insertion sort: Comparing 229 to 105
Recursive Insertion sort: Swapping 229 and 229
Recursive Insertion sort: Comparing 229 to 105
Recursive Insertion sort: Swapping 229 and 229
