Mike Ogrysko
java SortComparison "rev50.dat" "NMS5rev50out.dat"
Reading "rev50.dat" and writing to "NMS5rev50out.dat"
Running a Natural MergeSort
MergeSort: Comparing 30 to 2
MergeSort: Swapping 30 and 2
MergeSort: Comparing 30 to 3
MergeSort: Swapping 30 and 3
MergeSort: Comparing 30 to 4
MergeSort: Swapping 30 and 4
MergeSort: Comparing 30 to 5
MergeSort: Swapping 30 and 5
MergeSort: Comparing 30 to 6
MergeSort: Swapping 30 and 6
MergeSort: Comparing 30 to 7
MergeSort: Swapping 30 and 7
MergeSort: Comparing 30 to 8
MergeSort: Swapping 30 and 8
MergeSort: Comparing 30 to 9
MergeSort: Swapping 30 and 9
MergeSort: Comparing 30 to 10
MergeSort: Swapping 30 and 10
MergeSort: Comparing 30 to 11
MergeSort: Swapping 30 and 11
MergeSort: Comparing 30 to 12
MergeSort: Swapping 30 and 12
MergeSort: Comparing 30 to 13
MergeSort: Swapping 30 and 13
MergeSort: Comparing 30 to 14
MergeSort: Swapping 30 and 14
MergeSort: Comparing 30 to 15
MergeSort: Swapping 30 and 15
MergeSort: Comparing 30 to 16
MergeSort: Swapping 30 and 16
MergeSort: Comparing 30 to 17
MergeSort: Swapping 30 and 17
MergeSort: Comparing 30 to 18
MergeSort: Swapping 30 and 18
MergeSort: Comparing 30 to 19
MergeSort: Swapping 30 and 19
MergeSort: Comparing 30 to 20
MergeSort: Swapping 30 and 20
MergeSort: Comparing 30 to 21
MergeSort: Swapping 30 and 21
MergeSort: Comparing 30 to 22
MergeSort: Swapping 30 and 22
MergeSort: Comparing 30 to 23
MergeSort: Swapping 30 and 23
MergeSort: Comparing 30 to 24
MergeSort: Swapping 30 and 24
MergeSort: Comparing 30 to 25
MergeSort: Swapping 30 and 25
MergeSort: Comparing 30 to 26
MergeSort: Swapping 30 and 26
MergeSort: Comparing 30 to 27
MergeSort: Swapping 30 and 27
MergeSort: Comparing 30 to 28
MergeSort: Swapping 30 and 28
MergeSort: Comparing 30 to 29
MergeSort: Swapping 30 and 29
MergeSort: Comparing 31 to 1
MergeSort: Swapping 31 and 1
MergeSort: Comparing 31 to 2
MergeSort: Swapping 31 and 2
MergeSort: Comparing 31 to 3
MergeSort: Swapping 31 and 3
MergeSort: Comparing 31 to 4
MergeSort: Swapping 31 and 4
MergeSort: Comparing 31 to 5
MergeSort: Swapping 31 and 5
MergeSort: Comparing 31 to 6
MergeSort: Swapping 31 and 6
MergeSort: Comparing 31 to 7
MergeSort: Swapping 31 and 7
MergeSort: Comparing 31 to 8
MergeSort: Swapping 31 and 8
MergeSort: Comparing 31 to 9
MergeSort: Swapping 31 and 9
MergeSort: Comparing 31 to 10
MergeSort: Swapping 31 and 10
MergeSort: Comparing 31 to 11
MergeSort: Swapping 31 and 11
MergeSort: Comparing 31 to 12
MergeSort: Swapping 31 and 12
MergeSort: Comparing 31 to 13
MergeSort: Swapping 31 and 13
MergeSort: Comparing 31 to 14
MergeSort: Swapping 31 and 14
MergeSort: Comparing 31 to 15
MergeSort: Swapping 31 and 15
MergeSort: Comparing 31 to 16
MergeSort: Swapping 31 and 16
MergeSort: Comparing 31 to 17
MergeSort: Swapping 31 and 17
MergeSort: Comparing 31 to 18
MergeSort: Swapping 31 and 18
MergeSort: Comparing 31 to 19
MergeSort: Swapping 31 and 19
MergeSort: Comparing 31 to 20
MergeSort: Swapping 31 and 20
MergeSort: Comparing 31 to 21
MergeSort: Swapping 31 and 21
MergeSort: Comparing 31 to 22
MergeSort: Swapping 31 and 22
MergeSort: Comparing 31 to 23
MergeSort: Swapping 31 and 23
MergeSort: Comparing 31 to 24
MergeSort: Swapping 31 and 24
MergeSort: Comparing 31 to 25
MergeSort: Swapping 31 and 25
MergeSort: Comparing 31 to 26
MergeSort: Swapping 31 and 26
MergeSort: Comparing 31 to 27
MergeSort: Swapping 31 and 27
MergeSort: Comparing 31 to 28
MergeSort: Swapping 31 and 28
MergeSort: Comparing 31 to 29
MergeSort: Swapping 31 and 29
MergeSort: Comparing 31 to 30
MergeSort: Swapping 31 and 30
MergeSort: Comparing 32 to 1
MergeSort: Swapping 32 and 1
MergeSort: Comparing 32 to 2
MergeSort: Swapping 32 and 2
MergeSort: Comparing 32 to 3
MergeSort: Swapping 32 and 3
MergeSort: Comparing 32 to 4
MergeSort: Swapping 32 and 4
MergeSort: Comparing 32 to 5
MergeSort: Swapping 32 and 5
MergeSort: Comparing 32 to 6
MergeSort: Swapping 32 and 6
MergeSort: Comparing 32 to 7
MergeSort: Swapping 32 and 7
MergeSort: Comparing 32 to 8
MergeSort: Swapping 32 and 8
MergeSort: Comparing 32 to 9
MergeSort: Swapping 32 and 9
MergeSort: Comparing 32 to 10
MergeSort: Swapping 32 and 10
MergeSort: Comparing 32 to 11
MergeSort: Swapping 32 and 11
MergeSort: Comparing 32 to 12
MergeSort: Swapping 32 and 12
MergeSort: Comparing 32 to 13
MergeSort: Swapping 32 and 13
MergeSort: Comparing 32 to 14
MergeSort: Swapping 32 and 14
MergeSort: Comparing 32 to 15
MergeSort: Swapping 32 and 15
MergeSort: Comparing 32 to 16
MergeSort: Swapping 32 and 16
MergeSort: Comparing 32 to 17
MergeSort: Swapping 32 and 17
MergeSort: Comparing 32 to 18
MergeSort: Swapping 32 and 18
MergeSort: Comparing 32 to 19
MergeSort: Swapping 32 and 19
MergeSort: Comparing 32 to 20
MergeSort: Swapping 32 and 20
MergeSort: Comparing 32 to 21
MergeSort: Swapping 32 and 21
MergeSort: Comparing 32 to 22
MergeSort: Swapping 32 and 22
MergeSort: Comparing 32 to 23
MergeSort: Swapping 32 and 23
MergeSort: Comparing 32 to 24
MergeSort: Swapping 32 and 24
MergeSort: Comparing 32 to 25
MergeSort: Swapping 32 and 25
MergeSort: Comparing 32 to 26
MergeSort: Swapping 32 and 26
MergeSort: Comparing 32 to 27
MergeSort: Swapping 32 and 27
MergeSort: Comparing 32 to 28
MergeSort: Swapping 32 and 28
MergeSort: Comparing 32 to 29
MergeSort: Swapping 32 and 29
MergeSort: Comparing 32 to 30
MergeSort: Swapping 32 and 30
MergeSort: Comparing 32 to 31
MergeSort: Swapping 32 and 31
MergeSort: Comparing 33 to 1
MergeSort: Swapping 33 and 1
MergeSort: Comparing 33 to 2
MergeSort: Swapping 33 and 2
MergeSort: Comparing 33 to 3
MergeSort: Swapping 33 and 3
MergeSort: Comparing 33 to 4
MergeSort: Swapping 33 and 4
MergeSort: Comparing 33 to 5
MergeSort: Swapping 33 and 5
MergeSort: Comparing 33 to 6
MergeSort: Swapping 33 and 6
MergeSort: Comparing 33 to 7
MergeSort: Swapping 33 and 7
MergeSort: Comparing 33 to 8
MergeSort: Swapping 33 and 8
MergeSort: Comparing 33 to 9
MergeSort: Swapping 33 and 9
MergeSort: Comparing 33 to 10
MergeSort: Swapping 33 and 10
MergeSort: Comparing 33 to 11
MergeSort: Swapping 33 and 11
MergeSort: Comparing 33 to 12
MergeSort: Swapping 33 and 12
MergeSort: Comparing 33 to 13
MergeSort: Swapping 33 and 13
MergeSort: Comparing 33 to 14
MergeSort: Swapping 33 and 14
MergeSort: Comparing 33 to 15
MergeSort: Swapping 33 and 15
MergeSort: Comparing 33 to 16
MergeSort: Swapping 33 and 16
MergeSort: Comparing 33 to 17
MergeSort: Swapping 33 and 17
MergeSort: Comparing 33 to 18
MergeSort: Swapping 33 and 18
MergeSort: Comparing 33 to 19
MergeSort: Swapping 33 and 19
MergeSort: Comparing 33 to 20
MergeSort: Swapping 33 and 20
MergeSort: Comparing 33 to 21
MergeSort: Swapping 33 and 21
MergeSort: Comparing 33 to 22
MergeSort: Swapping 33 and 22
MergeSort: Comparing 33 to 23
MergeSort: Swapping 33 and 23
MergeSort: Comparing 33 to 24
MergeSort: Swapping 33 and 24
MergeSort: Comparing 33 to 25
MergeSort: Swapping 33 and 25
MergeSort: Comparing 33 to 26
MergeSort: Swapping 33 and 26
MergeSort: Comparing 33 to 27
MergeSort: Swapping 33 and 27
MergeSort: Comparing 33 to 28
MergeSort: Swapping 33 and 28
MergeSort: Comparing 33 to 29
MergeSort: Swapping 33 and 29
MergeSort: Comparing 33 to 30
MergeSort: Swapping 33 and 30
MergeSort: Comparing 33 to 31
MergeSort: Swapping 33 and 31
MergeSort: Comparing 33 to 32
MergeSort: Swapping 33 and 32
MergeSort: Comparing 34 to 1
MergeSort: Swapping 34 and 1
MergeSort: Comparing 34 to 2
MergeSort: Swapping 34 and 2
MergeSort: Comparing 34 to 3
MergeSort: Swapping 34 and 3
MergeSort: Comparing 34 to 4
MergeSort: Swapping 34 and 4
MergeSort: Comparing 34 to 5
MergeSort: Swapping 34 and 5
MergeSort: Comparing 34 to 6
MergeSort: Swapping 34 and 6
MergeSort: Comparing 34 to 7
MergeSort: Swapping 34 and 7
MergeSort: Comparing 34 to 8
MergeSort: Swapping 34 and 8
MergeSort: Comparing 34 to 9
MergeSort: Swapping 34 and 9
MergeSort: Comparing 34 to 10
MergeSort: Swapping 34 and 10
MergeSort: Comparing 34 to 11
MergeSort: Swapping 34 and 11
MergeSort: Comparing 34 to 12
MergeSort: Swapping 34 and 12
MergeSort: Comparing 34 to 13
MergeSort: Swapping 34 and 13
MergeSort: Comparing 34 to 14
MergeSort: Swapping 34 and 14
MergeSort: Comparing 34 to 15
MergeSort: Swapping 34 and 15
MergeSort: Comparing 34 to 16
MergeSort: Swapping 34 and 16
MergeSort: Comparing 34 to 17
MergeSort: Swapping 34 and 17
MergeSort: Comparing 34 to 18
MergeSort: Swapping 34 and 18
MergeSort: Comparing 34 to 19
MergeSort: Swapping 34 and 19
MergeSort: Comparing 34 to 20
MergeSort: Swapping 34 and 20
MergeSort: Comparing 34 to 21
MergeSort: Swapping 34 and 21
MergeSort: Comparing 34 to 22
MergeSort: Swapping 34 and 22
MergeSort: Comparing 34 to 23
MergeSort: Swapping 34 and 23
MergeSort: Comparing 34 to 24
MergeSort: Swapping 34 and 24
MergeSort: Comparing 34 to 25
MergeSort: Swapping 34 and 25
MergeSort: Comparing 34 to 26
MergeSort: Swapping 34 and 26
MergeSort: Comparing 34 to 27
MergeSort: Swapping 34 and 27
MergeSort: Comparing 34 to 28
MergeSort: Swapping 34 and 28
MergeSort: Comparing 34 to 29
MergeSort: Swapping 34 and 29
MergeSort: Comparing 34 to 30
MergeSort: Swapping 34 and 30
MergeSort: Comparing 34 to 31
MergeSort: Swapping 34 and 31
MergeSort: Comparing 34 to 32
MergeSort: Swapping 34 and 32
MergeSort: Comparing 34 to 33
MergeSort: Swapping 34 and 33
MergeSort: Comparing 35 to 1
MergeSort: Swapping 35 and 1
MergeSort: Comparing 35 to 2
MergeSort: Swapping 35 and 2
MergeSort: Comparing 35 to 3
MergeSort: Swapping 35 and 3
MergeSort: Comparing 35 to 4
MergeSort: Swapping 35 and 4
MergeSort: Comparing 35 to 5
MergeSort: Swapping 35 and 5
MergeSort: Comparing 35 to 6
MergeSort: Swapping 35 and 6
MergeSort: Comparing 35 to 7
MergeSort: Swapping 35 and 7
MergeSort: Comparing 35 to 8
MergeSort: Swapping 35 and 8
MergeSort: Comparing 35 to 9
MergeSort: Swapping 35 and 9
MergeSort: Comparing 35 to 10
MergeSort: Swapping 35 and 10
MergeSort: Comparing 35 to 11
MergeSort: Swapping 35 and 11
MergeSort: Comparing 35 to 12
MergeSort: Swapping 35 and 12
MergeSort: Comparing 35 to 13
MergeSort: Swapping 35 and 13
MergeSort: Comparing 35 to 14
MergeSort: Swapping 35 and 14
MergeSort: Comparing 35 to 15
MergeSort: Swapping 35 and 15
MergeSort: Comparing 35 to 16
MergeSort: Swapping 35 and 16
MergeSort: Comparing 35 to 17
MergeSort: Swapping 35 and 17
MergeSort: Comparing 35 to 18
MergeSort: Swapping 35 and 18
MergeSort: Comparing 35 to 19
MergeSort: Swapping 35 and 19
MergeSort: Comparing 35 to 20
MergeSort: Swapping 35 and 20
MergeSort: Comparing 35 to 21
MergeSort: Swapping 35 and 21
MergeSort: Comparing 35 to 22
MergeSort: Swapping 35 and 22
MergeSort: Comparing 35 to 23
MergeSort: Swapping 35 and 23
MergeSort: Comparing 35 to 24
MergeSort: Swapping 35 and 24
MergeSort: Comparing 35 to 25
MergeSort: Swapping 35 and 25
MergeSort: Comparing 35 to 26
MergeSort: Swapping 35 and 26
MergeSort: Comparing 35 to 27
MergeSort: Swapping 35 and 27
MergeSort: Comparing 35 to 28
MergeSort: Swapping 35 and 28
MergeSort: Comparing 35 to 29
MergeSort: Swapping 35 and 29
MergeSort: Comparing 35 to 30
MergeSort: Swapping 35 and 30
MergeSort: Comparing 35 to 31
MergeSort: Swapping 35 and 31
MergeSort: Comparing 35 to 32
MergeSort: Swapping 35 and 32
MergeSort: Comparing 35 to 33
MergeSort: Swapping 35 and 33
MergeSort: Comparing 35 to 34
MergeSort: Swapping 35 and 34
MergeSort: Comparing 36 to 1
MergeSort: Swapping 36 and 1
MergeSort: Comparing 36 to 2
MergeSort: Swapping 36 and 2
MergeSort: Comparing 36 to 3
MergeSort: Swapping 36 and 3
MergeSort: Comparing 36 to 4
MergeSort: Swapping 36 and 4
MergeSort: Comparing 36 to 5
MergeSort: Swapping 36 and 5
MergeSort: Comparing 36 to 6
MergeSort: Swapping 36 and 6
MergeSort: Comparing 36 to 7
MergeSort: Swapping 36 and 7
MergeSort: Comparing 36 to 8
MergeSort: Swapping 36 and 8
MergeSort: Comparing 36 to 9
MergeSort: Swapping 36 and 9
MergeSort: Comparing 36 to 10
MergeSort: Swapping 36 and 10
MergeSort: Comparing 36 to 11
MergeSort: Swapping 36 and 11
MergeSort: Comparing 36 to 12
MergeSort: Swapping 36 and 12
MergeSort: Comparing 36 to 13
MergeSort: Swapping 36 and 13
MergeSort: Comparing 36 to 14
MergeSort: Swapping 36 and 14
MergeSort: Comparing 36 to 15
MergeSort: Swapping 36 and 15
MergeSort: Comparing 36 to 16
MergeSort: Swapping 36 and 16
MergeSort: Comparing 36 to 17
MergeSort: Swapping 36 and 17
MergeSort: Comparing 36 to 18
MergeSort: Swapping 36 and 18
MergeSort: Comparing 36 to 19
MergeSort: Swapping 36 and 19
MergeSort: Comparing 36 to 20
MergeSort: Swapping 36 and 20
MergeSort: Comparing 36 to 21
MergeSort: Swapping 36 and 21
MergeSort: Comparing 36 to 22
MergeSort: Swapping 36 and 22
MergeSort: Comparing 36 to 23
MergeSort: Swapping 36 and 23
MergeSort: Comparing 36 to 24
MergeSort: Swapping 36 and 24
MergeSort: Comparing 36 to 25
MergeSort: Swapping 36 and 25
MergeSort: Comparing 36 to 26
MergeSort: Swapping 36 and 26
MergeSort: Comparing 36 to 27
MergeSort: Swapping 36 and 27
MergeSort: Comparing 36 to 28
MergeSort: Swapping 36 and 28
MergeSort: Comparing 36 to 29
MergeSort: Swapping 36 and 29
MergeSort: Comparing 36 to 30
MergeSort: Swapping 36 and 30
MergeSort: Comparing 36 to 31
MergeSort: Swapping 36 and 31
MergeSort: Comparing 36 to 32
MergeSort: Swapping 36 and 32
MergeSort: Comparing 36 to 33
MergeSort: Swapping 36 and 33
MergeSort: Comparing 36 to 34
MergeSort: Swapping 36 and 34
MergeSort: Comparing 36 to 35
MergeSort: Swapping 36 and 35
MergeSort: Comparing 37 to 1
MergeSort: Swapping 37 and 1
MergeSort: Comparing 37 to 2
MergeSort: Swapping 37 and 2
MergeSort: Comparing 37 to 3
MergeSort: Swapping 37 and 3
MergeSort: Comparing 37 to 4
MergeSort: Swapping 37 and 4
MergeSort: Comparing 37 to 5
MergeSort: Swapping 37 and 5
MergeSort: Comparing 37 to 6
MergeSort: Swapping 37 and 6
MergeSort: Comparing 37 to 7
MergeSort: Swapping 37 and 7
MergeSort: Comparing 37 to 8
MergeSort: Swapping 37 and 8
MergeSort: Comparing 37 to 9
MergeSort: Swapping 37 and 9
MergeSort: Comparing 37 to 10
MergeSort: Swapping 37 and 10
MergeSort: Comparing 37 to 11
MergeSort: Swapping 37 and 11
MergeSort: Comparing 37 to 12
MergeSort: Swapping 37 and 12
MergeSort: Comparing 37 to 13
MergeSort: Swapping 37 and 13
MergeSort: Comparing 37 to 14
MergeSort: Swapping 37 and 14
MergeSort: Comparing 37 to 15
MergeSort: Swapping 37 and 15
MergeSort: Comparing 37 to 16
MergeSort: Swapping 37 and 16
MergeSort: Comparing 37 to 17
MergeSort: Swapping 37 and 17
MergeSort: Comparing 37 to 18
MergeSort: Swapping 37 and 18
MergeSort: Comparing 37 to 19
MergeSort: Swapping 37 and 19
MergeSort: Comparing 37 to 20
MergeSort: Swapping 37 and 20
MergeSort: Comparing 37 to 21
MergeSort: Swapping 37 and 21
MergeSort: Comparing 37 to 22
MergeSort: Swapping 37 and 22
MergeSort: Comparing 37 to 23
MergeSort: Swapping 37 and 23
MergeSort: Comparing 37 to 24
MergeSort: Swapping 37 and 24
MergeSort: Comparing 37 to 25
MergeSort: Swapping 37 and 25
MergeSort: Comparing 37 to 26
MergeSort: Swapping 37 and 26
MergeSort: Comparing 37 to 27
MergeSort: Swapping 37 and 27
MergeSort: Comparing 37 to 28
MergeSort: Swapping 37 and 28
MergeSort: Comparing 37 to 29
MergeSort: Swapping 37 and 29
MergeSort: Comparing 37 to 30
MergeSort: Swapping 37 and 30
MergeSort: Comparing 37 to 31
MergeSort: Swapping 37 and 31
MergeSort: Comparing 37 to 32
MergeSort: Swapping 37 and 32
MergeSort: Comparing 37 to 33
MergeSort: Swapping 37 and 33
MergeSort: Comparing 37 to 34
MergeSort: Swapping 37 and 34
MergeSort: Comparing 37 to 35
MergeSort: Swapping 37 and 35
MergeSort: Comparing 37 to 36
MergeSort: Swapping 37 and 36
MergeSort: Comparing 38 to 1
MergeSort: Swapping 38 and 1
MergeSort: Comparing 38 to 2
MergeSort: Swapping 38 and 2
MergeSort: Comparing 38 to 3
MergeSort: Swapping 38 and 3
MergeSort: Comparing 38 to 4
MergeSort: Swapping 38 and 4
MergeSort: Comparing 38 to 5
MergeSort: Swapping 38 and 5
MergeSort: Comparing 38 to 6
MergeSort: Swapping 38 and 6
MergeSort: Comparing 38 to 7
MergeSort: Swapping 38 and 7
MergeSort: Comparing 38 to 8
MergeSort: Swapping 38 and 8
MergeSort: Comparing 38 to 9
MergeSort: Swapping 38 and 9
MergeSort: Comparing 38 to 10
MergeSort: Swapping 38 and 10
MergeSort: Comparing 38 to 11
MergeSort: Swapping 38 and 11
MergeSort: Comparing 38 to 12
MergeSort: Swapping 38 and 12
MergeSort: Comparing 38 to 13
MergeSort: Swapping 38 and 13
MergeSort: Comparing 38 to 14
MergeSort: Swapping 38 and 14
MergeSort: Comparing 38 to 15
MergeSort: Swapping 38 and 15
MergeSort: Comparing 38 to 16
MergeSort: Swapping 38 and 16
MergeSort: Comparing 38 to 17
MergeSort: Swapping 38 and 17
MergeSort: Comparing 38 to 18
MergeSort: Swapping 38 and 18
MergeSort: Comparing 38 to 19
MergeSort: Swapping 38 and 19
MergeSort: Comparing 38 to 20
MergeSort: Swapping 38 and 20
MergeSort: Comparing 38 to 21
MergeSort: Swapping 38 and 21
MergeSort: Comparing 38 to 22
MergeSort: Swapping 38 and 22
MergeSort: Comparing 38 to 23
MergeSort: Swapping 38 and 23
MergeSort: Comparing 38 to 24
MergeSort: Swapping 38 and 24
MergeSort: Comparing 38 to 25
MergeSort: Swapping 38 and 25
MergeSort: Comparing 38 to 26
MergeSort: Swapping 38 and 26
MergeSort: Comparing 38 to 27
MergeSort: Swapping 38 and 27
MergeSort: Comparing 38 to 28
MergeSort: Swapping 38 and 28
MergeSort: Comparing 38 to 29
MergeSort: Swapping 38 and 29
MergeSort: Comparing 38 to 30
MergeSort: Swapping 38 and 30
MergeSort: Comparing 38 to 31
MergeSort: Swapping 38 and 31
MergeSort: Comparing 38 to 32
MergeSort: Swapping 38 and 32
MergeSort: Comparing 38 to 33
MergeSort: Swapping 38 and 33
MergeSort: Comparing 38 to 34
MergeSort: Swapping 38 and 34
MergeSort: Comparing 38 to 35
MergeSort: Swapping 38 and 35
MergeSort: Comparing 38 to 36
MergeSort: Swapping 38 and 36
MergeSort: Comparing 38 to 37
MergeSort: Swapping 38 and 37
MergeSort: Comparing 39 to 1
MergeSort: Swapping 39 and 1
MergeSort: Comparing 39 to 2
MergeSort: Swapping 39 and 2
MergeSort: Comparing 39 to 3
MergeSort: Swapping 39 and 3
MergeSort: Comparing 39 to 4
MergeSort: Swapping 39 and 4
MergeSort: Comparing 39 to 5
MergeSort: Swapping 39 and 5
MergeSort: Comparing 39 to 6
MergeSort: Swapping 39 and 6
MergeSort: Comparing 39 to 7
MergeSort: Swapping 39 and 7
MergeSort: Comparing 39 to 8
MergeSort: Swapping 39 and 8
MergeSort: Comparing 39 to 9
MergeSort: Swapping 39 and 9
MergeSort: Comparing 39 to 10
MergeSort: Swapping 39 and 10
MergeSort: Comparing 39 to 11
MergeSort: Swapping 39 and 11
MergeSort: Comparing 39 to 12
MergeSort: Swapping 39 and 12
MergeSort: Comparing 39 to 13
MergeSort: Swapping 39 and 13
MergeSort: Comparing 39 to 14
MergeSort: Swapping 39 and 14
MergeSort: Comparing 39 to 15
MergeSort: Swapping 39 and 15
MergeSort: Comparing 39 to 16
MergeSort: Swapping 39 and 16
MergeSort: Comparing 39 to 17
MergeSort: Swapping 39 and 17
MergeSort: Comparing 39 to 18
MergeSort: Swapping 39 and 18
MergeSort: Comparing 39 to 19
MergeSort: Swapping 39 and 19
MergeSort: Comparing 39 to 20
MergeSort: Swapping 39 and 20
MergeSort: Comparing 39 to 21
MergeSort: Swapping 39 and 21
MergeSort: Comparing 39 to 22
MergeSort: Swapping 39 and 22
MergeSort: Comparing 39 to 23
MergeSort: Swapping 39 and 23
MergeSort: Comparing 39 to 24
MergeSort: Swapping 39 and 24
MergeSort: Comparing 39 to 25
MergeSort: Swapping 39 and 25
MergeSort: Comparing 39 to 26
MergeSort: Swapping 39 and 26
MergeSort: Comparing 39 to 27
MergeSort: Swapping 39 and 27
MergeSort: Comparing 39 to 28
MergeSort: Swapping 39 and 28
MergeSort: Comparing 39 to 29
MergeSort: Swapping 39 and 29
MergeSort: Comparing 39 to 30
MergeSort: Swapping 39 and 30
MergeSort: Comparing 39 to 31
MergeSort: Swapping 39 and 31
MergeSort: Comparing 39 to 32
MergeSort: Swapping 39 and 32
MergeSort: Comparing 39 to 33
MergeSort: Swapping 39 and 33
MergeSort: Comparing 39 to 34
MergeSort: Swapping 39 and 34
MergeSort: Comparing 39 to 35
MergeSort: Swapping 39 and 35
MergeSort: Comparing 39 to 36
MergeSort: Swapping 39 and 36
MergeSort: Comparing 39 to 37
MergeSort: Swapping 39 and 37
MergeSort: Comparing 39 to 38
MergeSort: Swapping 39 and 38
MergeSort: Comparing 40 to 1
MergeSort: Swapping 40 and 1
MergeSort: Comparing 40 to 2
MergeSort: Swapping 40 and 2
MergeSort: Comparing 40 to 3
MergeSort: Swapping 40 and 3
MergeSort: Comparing 40 to 4
MergeSort: Swapping 40 and 4
MergeSort: Comparing 40 to 5
MergeSort: Swapping 40 and 5
MergeSort: Comparing 40 to 6
MergeSort: Swapping 40 and 6
MergeSort: Comparing 40 to 7
MergeSort: Swapping 40 and 7
MergeSort: Comparing 40 to 8
MergeSort: Swapping 40 and 8
MergeSort: Comparing 40 to 9
MergeSort: Swapping 40 and 9
MergeSort: Comparing 40 to 10
MergeSort: Swapping 40 and 10
MergeSort: Comparing 40 to 11
MergeSort: Swapping 40 and 11
MergeSort: Comparing 40 to 12
MergeSort: Swapping 40 and 12
MergeSort: Comparing 40 to 13
MergeSort: Swapping 40 and 13
MergeSort: Comparing 40 to 14
MergeSort: Swapping 40 and 14
MergeSort: Comparing 40 to 15
MergeSort: Swapping 40 and 15
MergeSort: Comparing 40 to 16
MergeSort: Swapping 40 and 16
MergeSort: Comparing 40 to 17
MergeSort: Swapping 40 and 17
MergeSort: Comparing 40 to 18
MergeSort: Swapping 40 and 18
MergeSort: Comparing 40 to 19
MergeSort: Swapping 40 and 19
MergeSort: Comparing 40 to 20
MergeSort: Swapping 40 and 20
MergeSort: Comparing 40 to 21
MergeSort: Swapping 40 and 21
MergeSort: Comparing 40 to 22
MergeSort: Swapping 40 and 22
MergeSort: Comparing 40 to 23
MergeSort: Swapping 40 and 23
MergeSort: Comparing 40 to 24
MergeSort: Swapping 40 and 24
MergeSort: Comparing 40 to 25
MergeSort: Swapping 40 and 25
MergeSort: Comparing 40 to 26
MergeSort: Swapping 40 and 26
MergeSort: Comparing 40 to 27
MergeSort: Swapping 40 and 27
MergeSort: Comparing 40 to 28
MergeSort: Swapping 40 and 28
MergeSort: Comparing 40 to 29
MergeSort: Swapping 40 and 29
MergeSort: Comparing 40 to 30
MergeSort: Swapping 40 and 30
MergeSort: Comparing 40 to 31
MergeSort: Swapping 40 and 31
MergeSort: Comparing 40 to 32
MergeSort: Swapping 40 and 32
MergeSort: Comparing 40 to 33
MergeSort: Swapping 40 and 33
MergeSort: Comparing 40 to 34
MergeSort: Swapping 40 and 34
MergeSort: Comparing 40 to 35
MergeSort: Swapping 40 and 35
MergeSort: Comparing 40 to 36
MergeSort: Swapping 40 and 36
MergeSort: Comparing 40 to 37
MergeSort: Swapping 40 and 37
MergeSort: Comparing 40 to 38
MergeSort: Swapping 40 and 38
MergeSort: Comparing 40 to 39
MergeSort: Swapping 40 and 39
MergeSort: Comparing 41 to 1
MergeSort: Swapping 41 and 1
MergeSort: Comparing 41 to 2
MergeSort: Swapping 41 and 2
MergeSort: Comparing 41 to 3
MergeSort: Swapping 41 and 3
MergeSort: Comparing 41 to 4
MergeSort: Swapping 41 and 4
MergeSort: Comparing 41 to 5
MergeSort: Swapping 41 and 5
MergeSort: Comparing 41 to 6
MergeSort: Swapping 41 and 6
MergeSort: Comparing 41 to 7
MergeSort: Swapping 41 and 7
MergeSort: Comparing 41 to 8
MergeSort: Swapping 41 and 8
MergeSort: Comparing 41 to 9
MergeSort: Swapping 41 and 9
MergeSort: Comparing 41 to 10
MergeSort: Swapping 41 and 10
MergeSort: Comparing 41 to 11
MergeSort: Swapping 41 and 11
MergeSort: Comparing 41 to 12
MergeSort: Swapping 41 and 12
MergeSort: Comparing 41 to 13
MergeSort: Swapping 41 and 13
MergeSort: Comparing 41 to 14
MergeSort: Swapping 41 and 14
MergeSort: Comparing 41 to 15
MergeSort: Swapping 41 and 15
MergeSort: Comparing 41 to 16
MergeSort: Swapping 41 and 16
MergeSort: Comparing 41 to 17
MergeSort: Swapping 41 and 17
MergeSort: Comparing 41 to 18
MergeSort: Swapping 41 and 18
MergeSort: Comparing 41 to 19
MergeSort: Swapping 41 and 19
MergeSort: Comparing 41 to 20
MergeSort: Swapping 41 and 20
MergeSort: Comparing 41 to 21
MergeSort: Swapping 41 and 21
MergeSort: Comparing 41 to 22
MergeSort: Swapping 41 and 22
MergeSort: Comparing 41 to 23
MergeSort: Swapping 41 and 23
MergeSort: Comparing 41 to 24
MergeSort: Swapping 41 and 24
MergeSort: Comparing 41 to 25
MergeSort: Swapping 41 and 25
MergeSort: Comparing 41 to 26
MergeSort: Swapping 41 and 26
MergeSort: Comparing 41 to 27
MergeSort: Swapping 41 and 27
MergeSort: Comparing 41 to 28
MergeSort: Swapping 41 and 28
MergeSort: Comparing 41 to 29
MergeSort: Swapping 41 and 29
MergeSort: Comparing 41 to 30
MergeSort: Swapping 41 and 30
MergeSort: Comparing 41 to 31
MergeSort: Swapping 41 and 31
MergeSort: Comparing 41 to 32
MergeSort: Swapping 41 and 32
MergeSort: Comparing 41 to 33
MergeSort: Swapping 41 and 33
MergeSort: Comparing 41 to 34
MergeSort: Swapping 41 and 34
MergeSort: Comparing 41 to 35
MergeSort: Swapping 41 and 35
MergeSort: Comparing 41 to 36
MergeSort: Swapping 41 and 36
