Mike Ogrysko
java SortComparison "rev50.dat" "NMS5rev50out.dat"
Reading "rev50.dat" and writing to "NMS5rev50out.dat"
Running a Natural MergeSort
MergeSort: Swapping 15 and 1
MergeSort: Comparing 15 to 2
MergeSort: Swapping 15 and 2
MergeSort: Comparing 15 to 3
MergeSort: Swapping 15 and 3
MergeSort: Comparing 15 to 4
MergeSort: Swapping 15 and 4
MergeSort: Comparing 15 to 5
MergeSort: Swapping 15 and 5
MergeSort: Comparing 15 to 6
MergeSort: Swapping 15 and 6
MergeSort: Comparing 15 to 7
MergeSort: Swapping 15 and 7
MergeSort: Comparing 15 to 8
MergeSort: Swapping 15 and 8
MergeSort: Comparing 15 to 9
MergeSort: Swapping 15 and 9
MergeSort: Comparing 15 to 10
MergeSort: Swapping 15 and 10
MergeSort: Comparing 15 to 11
MergeSort: Swapping 15 and 11
MergeSort: Comparing 15 to 12
MergeSort: Swapping 15 and 12
MergeSort: Comparing 15 to 13
MergeSort: Swapping 15 and 13
MergeSort: Comparing 15 to 14
MergeSort: Swapping 15 and 14
MergeSort: Comparing 16 to 1
MergeSort: Swapping 16 and 1
MergeSort: Comparing 16 to 2
MergeSort: Swapping 16 and 2
MergeSort: Comparing 16 to 3
MergeSort: Swapping 16 and 3
MergeSort: Comparing 16 to 4
MergeSort: Swapping 16 and 4
MergeSort: Comparing 16 to 5
MergeSort: Swapping 16 and 5
MergeSort: Comparing 16 to 6
MergeSort: Swapping 16 and 6
MergeSort: Comparing 16 to 7
MergeSort: Swapping 16 and 7
MergeSort: Comparing 16 to 8
MergeSort: Swapping 16 and 8
MergeSort: Comparing 16 to 9
MergeSort: Swapping 16 and 9
MergeSort: Comparing 16 to 10
MergeSort: Swapping 16 and 10
MergeSort: Comparing 16 to 11
MergeSort: Swapping 16 and 11
MergeSort: Comparing 16 to 12
MergeSort: Swapping 16 and 12
MergeSort: Comparing 16 to 13
MergeSort: Swapping 16 and 13
MergeSort: Comparing 16 to 14
MergeSort: Swapping 16 and 14
MergeSort: Comparing 16 to 15
MergeSort: Swapping 16 and 15
MergeSort: Comparing 17 to 1
MergeSort: Swapping 17 and 1
MergeSort: Comparing 17 to 2
MergeSort: Swapping 17 and 2
MergeSort: Comparing 17 to 3
MergeSort: Swapping 17 and 3
MergeSort: Comparing 17 to 4
MergeSort: Swapping 17 and 4
MergeSort: Comparing 17 to 5
MergeSort: Swapping 17 and 5
MergeSort: Comparing 17 to 6
MergeSort: Swapping 17 and 6
MergeSort: Comparing 17 to 7
MergeSort: Swapping 17 and 7
MergeSort: Comparing 17 to 8
MergeSort: Swapping 17 and 8
MergeSort: Comparing 17 to 9
MergeSort: Swapping 17 and 9
MergeSort: Comparing 17 to 10
MergeSort: Swapping 17 and 10
MergeSort: Comparing 17 to 11
MergeSort: Swapping 17 and 11
MergeSort: Comparing 17 to 12
MergeSort: Swapping 17 and 12
MergeSort: Comparing 17 to 13
MergeSort: Swapping 17 and 13
MergeSort: Comparing 17 to 14
MergeSort: Swapping 17 and 14
MergeSort: Comparing 17 to 15
MergeSort: Swapping 17 and 15
MergeSort: Comparing 17 to 16
MergeSort: Swapping 17 and 16
MergeSort: Comparing 18 to 1
MergeSort: Swapping 18 and 1
MergeSort: Comparing 18 to 2
MergeSort: Swapping 18 and 2
MergeSort: Comparing 18 to 3
MergeSort: Swapping 18 and 3
MergeSort: Comparing 18 to 4
MergeSort: Swapping 18 and 4
MergeSort: Comparing 18 to 5
MergeSort: Swapping 18 and 5
MergeSort: Comparing 18 to 6
MergeSort: Swapping 18 and 6
MergeSort: Comparing 18 to 7
MergeSort: Swapping 18 and 7
MergeSort: Comparing 18 to 8
MergeSort: Swapping 18 and 8
MergeSort: Comparing 18 to 9
MergeSort: Swapping 18 and 9
MergeSort: Comparing 18 to 10
MergeSort: Swapping 18 and 10
MergeSort: Comparing 18 to 11
MergeSort: Swapping 18 and 11
MergeSort: Comparing 18 to 12
MergeSort: Swapping 18 and 12
MergeSort: Comparing 18 to 13
MergeSort: Swapping 18 and 13
MergeSort: Comparing 18 to 14
MergeSort: Swapping 18 and 14
MergeSort: Comparing 18 to 15
MergeSort: Swapping 18 and 15
MergeSort: Comparing 18 to 16
MergeSort: Swapping 18 and 16
MergeSort: Comparing 18 to 17
MergeSort: Swapping 18 and 17
MergeSort: Comparing 19 to 1
MergeSort: Swapping 19 and 1
MergeSort: Comparing 19 to 2
MergeSort: Swapping 19 and 2
MergeSort: Comparing 19 to 3
MergeSort: Swapping 19 and 3
MergeSort: Comparing 19 to 4
MergeSort: Swapping 19 and 4
MergeSort: Comparing 19 to 5
MergeSort: Swapping 19 and 5
MergeSort: Comparing 19 to 6
MergeSort: Swapping 19 and 6
MergeSort: Comparing 19 to 7
MergeSort: Swapping 19 and 7
MergeSort: Comparing 19 to 8
MergeSort: Swapping 19 and 8
MergeSort: Comparing 19 to 9
MergeSort: Swapping 19 and 9
MergeSort: Comparing 19 to 10
MergeSort: Swapping 19 and 10
MergeSort: Comparing 19 to 11
MergeSort: Swapping 19 and 11
MergeSort: Comparing 19 to 12
MergeSort: Swapping 19 and 12
MergeSort: Comparing 19 to 13
MergeSort: Swapping 19 and 13
MergeSort: Comparing 19 to 14
MergeSort: Swapping 19 and 14
MergeSort: Comparing 19 to 15
MergeSort: Swapping 19 and 15
MergeSort: Comparing 19 to 16
MergeSort: Swapping 19 and 16
MergeSort: Comparing 19 to 17
MergeSort: Swapping 19 and 17
MergeSort: Comparing 19 to 18
MergeSort: Swapping 19 and 18
MergeSort: Comparing 20 to 1
MergeSort: Swapping 20 and 1
MergeSort: Comparing 20 to 2
MergeSort: Swapping 20 and 2
MergeSort: Comparing 20 to 3
MergeSort: Swapping 20 and 3
MergeSort: Comparing 20 to 4
MergeSort: Swapping 20 and 4
MergeSort: Comparing 20 to 5
MergeSort: Swapping 20 and 5
MergeSort: Comparing 20 to 6
MergeSort: Swapping 20 and 6
MergeSort: Comparing 20 to 7
MergeSort: Swapping 20 and 7
MergeSort: Comparing 20 to 8
MergeSort: Swapping 20 and 8
MergeSort: Comparing 20 to 9
MergeSort: Swapping 20 and 9
MergeSort: Comparing 20 to 10
MergeSort: Swapping 20 and 10
MergeSort: Comparing 20 to 11
MergeSort: Swapping 20 and 11
MergeSort: Comparing 20 to 12
MergeSort: Swapping 20 and 12
MergeSort: Comparing 20 to 13
MergeSort: Swapping 20 and 13
MergeSort: Comparing 20 to 14
MergeSort: Swapping 20 and 14
MergeSort: Comparing 20 to 15
MergeSort: Swapping 20 and 15
MergeSort: Comparing 20 to 16
MergeSort: Swapping 20 and 16
MergeSort: Comparing 20 to 17
MergeSort: Swapping 20 and 17
MergeSort: Comparing 20 to 18
MergeSort: Swapping 20 and 18
MergeSort: Comparing 20 to 19
MergeSort: Swapping 20 and 19
MergeSort: Comparing 21 to 1
MergeSort: Swapping 21 and 1
MergeSort: Comparing 21 to 2
MergeSort: Swapping 21 and 2
MergeSort: Comparing 21 to 3
MergeSort: Swapping 21 and 3
MergeSort: Comparing 21 to 4
MergeSort: Swapping 21 and 4
MergeSort: Comparing 21 to 5
MergeSort: Swapping 21 and 5
MergeSort: Comparing 21 to 6
MergeSort: Swapping 21 and 6
MergeSort: Comparing 21 to 7
MergeSort: Swapping 21 and 7
MergeSort: Comparing 21 to 8
MergeSort: Swapping 21 and 8
MergeSort: Comparing 21 to 9
MergeSort: Swapping 21 and 9
MergeSort: Comparing 21 to 10
MergeSort: Swapping 21 and 10
MergeSort: Comparing 21 to 11
MergeSort: Swapping 21 and 11
MergeSort: Comparing 21 to 12
MergeSort: Swapping 21 and 12
MergeSort: Comparing 21 to 13
MergeSort: Swapping 21 and 13
MergeSort: Comparing 21 to 14
MergeSort: Swapping 21 and 14
MergeSort: Comparing 21 to 15
MergeSort: Swapping 21 and 15
MergeSort: Comparing 21 to 16
MergeSort: Swapping 21 and 16
MergeSort: Comparing 21 to 17
MergeSort: Swapping 21 and 17
MergeSort: Comparing 21 to 18
MergeSort: Swapping 21 and 18
MergeSort: Comparing 21 to 19
MergeSort: Swapping 21 and 19
MergeSort: Comparing 21 to 20
MergeSort: Swapping 21 and 20
MergeSort: Comparing 22 to 1
MergeSort: Swapping 22 and 1
MergeSort: Comparing 22 to 2
MergeSort: Swapping 22 and 2
MergeSort: Comparing 22 to 3
MergeSort: Swapping 22 and 3
MergeSort: Comparing 22 to 4
MergeSort: Swapping 22 and 4
MergeSort: Comparing 22 to 5
MergeSort: Swapping 22 and 5
MergeSort: Comparing 22 to 6
MergeSort: Swapping 22 and 6
MergeSort: Comparing 22 to 7
MergeSort: Swapping 22 and 7
MergeSort: Comparing 22 to 8
MergeSort: Swapping 22 and 8
MergeSort: Comparing 22 to 9
MergeSort: Swapping 22 and 9
MergeSort: Comparing 22 to 10
MergeSort: Swapping 22 and 10
MergeSort: Comparing 22 to 11
MergeSort: Swapping 22 and 11
MergeSort: Comparing 22 to 12
MergeSort: Swapping 22 and 12
MergeSort: Comparing 22 to 13
MergeSort: Swapping 22 and 13
MergeSort: Comparing 22 to 14
MergeSort: Swapping 22 and 14
MergeSort: Comparing 22 to 15
MergeSort: Swapping 22 and 15
MergeSort: Comparing 22 to 16
MergeSort: Swapping 22 and 16
MergeSort: Comparing 22 to 17
MergeSort: Swapping 22 and 17
MergeSort: Comparing 22 to 18
MergeSort: Swapping 22 and 18
MergeSort: Comparing 22 to 19
MergeSort: Swapping 22 and 19
MergeSort: Comparing 22 to 20
MergeSort: Swapping 22 and 20
MergeSort: Comparing 22 to 21
MergeSort: Swapping 22 and 21
MergeSort: Comparing 23 to 1
MergeSort: Swapping 23 and 1
MergeSort: Comparing 23 to 2
MergeSort: Swapping 23 and 2
MergeSort: Comparing 23 to 3
MergeSort: Swapping 23 and 3
MergeSort: Comparing 23 to 4
MergeSort: Swapping 23 and 4
MergeSort: Comparing 23 to 5
MergeSort: Swapping 23 and 5
MergeSort: Comparing 23 to 6
MergeSort: Swapping 23 and 6
MergeSort: Comparing 23 to 7
MergeSort: Swapping 23 and 7
MergeSort: Comparing 23 to 8
MergeSort: Swapping 23 and 8
MergeSort: Comparing 23 to 9
MergeSort: Swapping 23 and 9
MergeSort: Comparing 23 to 10
MergeSort: Swapping 23 and 10
MergeSort: Comparing 23 to 11
MergeSort: Swapping 23 and 11
MergeSort: Comparing 23 to 12
MergeSort: Swapping 23 and 12
MergeSort: Comparing 23 to 13
MergeSort: Swapping 23 and 13
MergeSort: Comparing 23 to 14
MergeSort: Swapping 23 and 14
MergeSort: Comparing 23 to 15
MergeSort: Swapping 23 and 15
MergeSort: Comparing 23 to 16
MergeSort: Swapping 23 and 16
MergeSort: Comparing 23 to 17
MergeSort: Swapping 23 and 17
MergeSort: Comparing 23 to 18
MergeSort: Swapping 23 and 18
MergeSort: Comparing 23 to 19
MergeSort: Swapping 23 and 19
MergeSort: Comparing 23 to 20
MergeSort: Swapping 23 and 20
MergeSort: Comparing 23 to 21
MergeSort: Swapping 23 and 21
MergeSort: Comparing 23 to 22
MergeSort: Swapping 23 and 22
MergeSort: Comparing 24 to 1
MergeSort: Swapping 24 and 1
MergeSort: Comparing 24 to 2
MergeSort: Swapping 24 and 2
MergeSort: Comparing 24 to 3
MergeSort: Swapping 24 and 3
MergeSort: Comparing 24 to 4
MergeSort: Swapping 24 and 4
MergeSort: Comparing 24 to 5
MergeSort: Swapping 24 and 5
MergeSort: Comparing 24 to 6
MergeSort: Swapping 24 and 6
MergeSort: Comparing 24 to 7
MergeSort: Swapping 24 and 7
MergeSort: Comparing 24 to 8
MergeSort: Swapping 24 and 8
MergeSort: Comparing 24 to 9
MergeSort: Swapping 24 and 9
MergeSort: Comparing 24 to 10
MergeSort: Swapping 24 and 10
MergeSort: Comparing 24 to 11
MergeSort: Swapping 24 and 11
MergeSort: Comparing 24 to 12
MergeSort: Swapping 24 and 12
MergeSort: Comparing 24 to 13
MergeSort: Swapping 24 and 13
MergeSort: Comparing 24 to 14
MergeSort: Swapping 24 and 14
MergeSort: Comparing 24 to 15
MergeSort: Swapping 24 and 15
MergeSort: Comparing 24 to 16
MergeSort: Swapping 24 and 16
MergeSort: Comparing 24 to 17
MergeSort: Swapping 24 and 17
MergeSort: Comparing 24 to 18
MergeSort: Swapping 24 and 18
MergeSort: Comparing 24 to 19
MergeSort: Swapping 24 and 19
MergeSort: Comparing 24 to 20
MergeSort: Swapping 24 and 20
MergeSort: Comparing 24 to 21
MergeSort: Swapping 24 and 21
MergeSort: Comparing 24 to 22
MergeSort: Swapping 24 and 22
MergeSort: Comparing 24 to 23
MergeSort: Swapping 24 and 23
MergeSort: Comparing 25 to 1
MergeSort: Swapping 25 and 1
MergeSort: Comparing 25 to 2
MergeSort: Swapping 25 and 2
MergeSort: Comparing 25 to 3
MergeSort: Swapping 25 and 3
MergeSort: Comparing 25 to 4
MergeSort: Swapping 25 and 4
MergeSort: Comparing 25 to 5
MergeSort: Swapping 25 and 5
MergeSort: Comparing 25 to 6
MergeSort: Swapping 25 and 6
MergeSort: Comparing 25 to 7
MergeSort: Swapping 25 and 7
MergeSort: Comparing 25 to 8
MergeSort: Swapping 25 and 8
MergeSort: Comparing 25 to 9
MergeSort: Swapping 25 and 9
MergeSort: Comparing 25 to 10
MergeSort: Swapping 25 and 10
MergeSort: Comparing 25 to 11
MergeSort: Swapping 25 and 11
MergeSort: Comparing 25 to 12
MergeSort: Swapping 25 and 12
MergeSort: Comparing 25 to 13
MergeSort: Swapping 25 and 13
MergeSort: Comparing 25 to 14
MergeSort: Swapping 25 and 14
MergeSort: Comparing 25 to 15
MergeSort: Swapping 25 and 15
MergeSort: Comparing 25 to 16
MergeSort: Swapping 25 and 16
MergeSort: Comparing 25 to 17
MergeSort: Swapping 25 and 17
MergeSort: Comparing 25 to 18
MergeSort: Swapping 25 and 18
MergeSort: Comparing 25 to 19
MergeSort: Swapping 25 and 19
MergeSort: Comparing 25 to 20
MergeSort: Swapping 25 and 20
MergeSort: Comparing 25 to 21
MergeSort: Swapping 25 and 21
MergeSort: Comparing 25 to 22
MergeSort: Swapping 25 and 22
MergeSort: Comparing 25 to 23
MergeSort: Swapping 25 and 23
MergeSort: Comparing 25 to 24
MergeSort: Swapping 25 and 24
MergeSort: Comparing 26 to 1
MergeSort: Swapping 26 and 1
MergeSort: Comparing 26 to 2
MergeSort: Swapping 26 and 2
MergeSort: Comparing 26 to 3
MergeSort: Swapping 26 and 3
MergeSort: Comparing 26 to 4
MergeSort: Swapping 26 and 4
MergeSort: Comparing 26 to 5
MergeSort: Swapping 26 and 5
MergeSort: Comparing 26 to 6
MergeSort: Swapping 26 and 6
MergeSort: Comparing 26 to 7
MergeSort: Swapping 26 and 7
MergeSort: Comparing 26 to 8
MergeSort: Swapping 26 and 8
MergeSort: Comparing 26 to 9
MergeSort: Swapping 26 and 9
MergeSort: Comparing 26 to 10
MergeSort: Swapping 26 and 10
MergeSort: Comparing 26 to 11
MergeSort: Swapping 26 and 11
MergeSort: Comparing 26 to 12
MergeSort: Swapping 26 and 12
MergeSort: Comparing 26 to 13
MergeSort: Swapping 26 and 13
MergeSort: Comparing 26 to 14
MergeSort: Swapping 26 and 14
MergeSort: Comparing 26 to 15
MergeSort: Swapping 26 and 15
MergeSort: Comparing 26 to 16
MergeSort: Swapping 26 and 16
MergeSort: Comparing 26 to 17
MergeSort: Swapping 26 and 17
MergeSort: Comparing 26 to 18
MergeSort: Swapping 26 and 18
MergeSort: Comparing 26 to 19
MergeSort: Swapping 26 and 19
MergeSort: Comparing 26 to 20
MergeSort: Swapping 26 and 20
MergeSort: Comparing 26 to 21
MergeSort: Swapping 26 and 21
MergeSort: Comparing 26 to 22
MergeSort: Swapping 26 and 22
MergeSort: Comparing 26 to 23
MergeSort: Swapping 26 and 23
MergeSort: Comparing 26 to 24
MergeSort: Swapping 26 and 24
MergeSort: Comparing 26 to 25
MergeSort: Swapping 26 and 25
MergeSort: Comparing 27 to 1
MergeSort: Swapping 27 and 1
MergeSort: Comparing 27 to 2
MergeSort: Swapping 27 and 2
MergeSort: Comparing 27 to 3
MergeSort: Swapping 27 and 3
MergeSort: Comparing 27 to 4
MergeSort: Swapping 27 and 4
MergeSort: Comparing 27 to 5
MergeSort: Swapping 27 and 5
MergeSort: Comparing 27 to 6
MergeSort: Swapping 27 and 6
MergeSort: Comparing 27 to 7
MergeSort: Swapping 27 and 7
MergeSort: Comparing 27 to 8
MergeSort: Swapping 27 and 8
MergeSort: Comparing 27 to 9
MergeSort: Swapping 27 and 9
MergeSort: Comparing 27 to 10
MergeSort: Swapping 27 and 10
MergeSort: Comparing 27 to 11
MergeSort: Swapping 27 and 11
MergeSort: Comparing 27 to 12
MergeSort: Swapping 27 and 12
MergeSort: Comparing 27 to 13
MergeSort: Swapping 27 and 13
MergeSort: Comparing 27 to 14
MergeSort: Swapping 27 and 14
MergeSort: Comparing 27 to 15
MergeSort: Swapping 27 and 15
MergeSort: Comparing 27 to 16
MergeSort: Swapping 27 and 16
MergeSort: Comparing 27 to 17
MergeSort: Swapping 27 and 17
MergeSort: Comparing 27 to 18
MergeSort: Swapping 27 and 18
MergeSort: Comparing 27 to 19
MergeSort: Swapping 27 and 19
MergeSort: Comparing 27 to 20
MergeSort: Swapping 27 and 20
MergeSort: Comparing 27 to 21
MergeSort: Swapping 27 and 21
MergeSort: Comparing 27 to 22
MergeSort: Swapping 27 and 22
MergeSort: Comparing 27 to 23
MergeSort: Swapping 27 and 23
MergeSort: Comparing 27 to 24
MergeSort: Swapping 27 and 24
MergeSort: Comparing 27 to 25
MergeSort: Swapping 27 and 25
MergeSort: Comparing 27 to 26
MergeSort: Swapping 27 and 26
MergeSort: Comparing 28 to 1
MergeSort: Swapping 28 and 1
MergeSort: Comparing 28 to 2
MergeSort: Swapping 28 and 2
MergeSort: Comparing 28 to 3
MergeSort: Swapping 28 and 3
MergeSort: Comparing 28 to 4
MergeSort: Swapping 28 and 4
MergeSort: Comparing 28 to 5
MergeSort: Swapping 28 and 5
MergeSort: Comparing 28 to 6
MergeSort: Swapping 28 and 6
MergeSort: Comparing 28 to 7
MergeSort: Swapping 28 and 7
MergeSort: Comparing 28 to 8
MergeSort: Swapping 28 and 8
MergeSort: Comparing 28 to 9
MergeSort: Swapping 28 and 9
MergeSort: Comparing 28 to 10
MergeSort: Swapping 28 and 10
MergeSort: Comparing 28 to 11
MergeSort: Swapping 28 and 11
MergeSort: Comparing 28 to 12
MergeSort: Swapping 28 and 12
MergeSort: Comparing 28 to 13
MergeSort: Swapping 28 and 13
MergeSort: Comparing 28 to 14
MergeSort: Swapping 28 and 14
MergeSort: Comparing 28 to 15
MergeSort: Swapping 28 and 15
MergeSort: Comparing 28 to 16
MergeSort: Swapping 28 and 16
MergeSort: Comparing 28 to 17
MergeSort: Swapping 28 and 17
MergeSort: Comparing 28 to 18
MergeSort: Swapping 28 and 18
MergeSort: Comparing 28 to 19
MergeSort: Swapping 28 and 19
MergeSort: Comparing 28 to 20
MergeSort: Swapping 28 and 20
MergeSort: Comparing 28 to 21
MergeSort: Swapping 28 and 21
MergeSort: Comparing 28 to 22
MergeSort: Swapping 28 and 22
MergeSort: Comparing 28 to 23
MergeSort: Swapping 28 and 23
MergeSort: Comparing 28 to 24
MergeSort: Swapping 28 and 24
MergeSort: Comparing 28 to 25
MergeSort: Swapping 28 and 25
MergeSort: Comparing 28 to 26
MergeSort: Swapping 28 and 26
MergeSort: Comparing 28 to 27
MergeSort: Swapping 28 and 27
MergeSort: Comparing 29 to 1
MergeSort: Swapping 29 and 1
MergeSort: Comparing 29 to 2
MergeSort: Swapping 29 and 2
MergeSort: Comparing 29 to 3
MergeSort: Swapping 29 and 3
MergeSort: Comparing 29 to 4
MergeSort: Swapping 29 and 4
MergeSort: Comparing 29 to 5
MergeSort: Swapping 29 and 5
MergeSort: Comparing 29 to 6
MergeSort: Swapping 29 and 6
MergeSort: Comparing 29 to 7
MergeSort: Swapping 29 and 7
MergeSort: Comparing 29 to 8
MergeSort: Swapping 29 and 8
MergeSort: Comparing 29 to 9
MergeSort: Swapping 29 and 9
MergeSort: Comparing 29 to 10
MergeSort: Swapping 29 and 10
MergeSort: Comparing 29 to 11
MergeSort: Swapping 29 and 11
MergeSort: Comparing 29 to 12
MergeSort: Swapping 29 and 12
MergeSort: Comparing 29 to 13
MergeSort: Swapping 29 and 13
MergeSort: Comparing 29 to 14
MergeSort: Swapping 29 and 14
MergeSort: Comparing 29 to 15
MergeSort: Swapping 29 and 15
MergeSort: Comparing 29 to 16
MergeSort: Swapping 29 and 16
MergeSort: Comparing 29 to 17
MergeSort: Swapping 29 and 17
MergeSort: Comparing 29 to 18
MergeSort: Swapping 29 and 18
MergeSort: Comparing 29 to 19
MergeSort: Swapping 29 and 19
MergeSort: Comparing 29 to 20
MergeSort: Swapping 29 and 20
MergeSort: Comparing 29 to 21
MergeSort: Swapping 29 and 21
MergeSort: Comparing 29 to 22
MergeSort: Swapping 29 and 22
MergeSort: Comparing 29 to 23
MergeSort: Swapping 29 and 23
MergeSort: Comparing 29 to 24
MergeSort: Swapping 29 and 24
MergeSort: Comparing 29 to 25
MergeSort: Swapping 29 and 25
MergeSort: Comparing 29 to 26
MergeSort: Swapping 29 and 26
MergeSort: Comparing 29 to 27
MergeSort: Swapping 29 and 27
MergeSort: Comparing 29 to 28
MergeSort: Swapping 29 and 28
MergeSort: Comparing 30 to 1
MergeSort: Swapping 30 and 1
